,YearsExperience,Salary
0,-1.5100529354239738,-1.3601126252524929
1,-1.4383732074766336,-1.1055274415513852
2,-1.366693479529293,-1.419918996008276
3,-1.1874941596609416,-1.2049573879691888
4,-1.115814431713601,-1.3397814272536286
5,-0.8649353838979092,-0.7183071614160805
6,-0.8290955199242389,-0.5881578136423287
7,-0.7574157919768983,-0.7998174570429144
8,-0.7574157919768983,-0.4288101942899158
9,-0.578216472108547,-0.6980130641434915
10,-0.5065367441612065,-0.4743327854297087
11,-0.47069688018753625,-0.7497685772975349
12,-0.47069688018753625,-0.7066204326393611
13,-0.43485701621386613,-0.7020199425812239
14,-0.2914975603191849,-0.5525040156917655
15,-0.1481381044245037,-0.29921735741029337
16,-0.07645837647716341,-0.3700426438698408
17,-0.004778648529822813,0.2628586456604995
18,0.210260535312199,0.19885989283560723
19,0.24610039928586913,0.6654757272000535
20,0.5328193110752313,0.5837799279418433
21,0.640338902996242,0.8262331741509279
22,0.9270578147856043,0.9386112740388112
23,1.034577406706615,1.4027413597428124
24,1.2137767265749662,1.2402030779307236
25,1.3212963184959772,1.0974023824970944
26,1.5004956383643286,1.519868352593934
27,1.5363355023379988,1.3590738049167843
28,1.787214550153691,1.72102849045861
29,1.8588942781010314,1.7017732135217292
